Death No.,Killed_chord,Name,Allegiance,Killer_chord,Killer,Killers House,Method,Location,Season,Episode,Death Year,Death Book,Death Chapter,Estimated Book Death Season,Estimated Book Death Episode,Nobility,Gender,Killer Gender,Killer Nobility,In Book,Is Animal,KillerIsAnimal,GoT,CoK,SoS,FfC,DwD,LocationX,LocationY
414,Styr,Styr,Free Folk,Jon Snow,Jon Snow,House Stark,Hammer,Castle Black,4,9,300,3,26,3,5,1,1,1,1,1,0,0,0,0,1,0,0,422,233
415,Ygritte,Ygritte,Free Folk,Olly,Olly,Night's Watch,Arrow,Castle Black,4,9,299,3,55,4,9,0,0,1,0,1,0,0,0,1,1,0,0,422,233
416,Night's Watch,Night's Watch brother,Night's Watch,Wildlings,Wildling,Free Folk,Sword,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,422,233
417,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
418,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
419,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
420,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
421,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
422,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
423,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
424,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
425,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Scythe,The Wall,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,386,229
426,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Spear,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
427,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
428,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Spear,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
429,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Wildlings,Wildling,Free Folk,Arrow,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,302,155
430,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Spear,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
431,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Spear,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
432,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
433,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
434,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
435,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
436,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
437,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
438,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
439,Wildlings,Wildling,Free Folk,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
440,Smallfolk,Zalla,Smallfolk,Daenerys Targaryen,Daenerys Targaryen,House Targaryen,Dragonfire,Meereen,4,10,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1613,1309
441,Other Starks,Jojen Reed,House Stark,Other Starks,Meera Reed,House Stark,Knife,Beyond the Wall,4,10,-1,-1,-1,-1,-1,1,1,0,1,1,0,0,0,1,1,0,1,302,155
442,Other Lannisters,Shae,House Lannister,Tyrion Lannister,Tyrion Lannister,House Lannister,Hands,King's Landing,4,10,300,3,77,4,4,0,0,1,1,1,0,0,1,1,1,0,0,440,1050
443,Other Lannisters,Tywin Lannister,House Lannister,Tyrion Lannister,Tyrion Lannister,House Lannister,Arrow,King's Landing,4,10,300,3,77,4,4,1,1,1,1,1,0,0,1,1,1,0,0,440,1050
444,Other Targaryens,White Rat,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,1,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
445,Wildlings,Mance Rayder,Free Folk,Jon Snow,Jon Snow,Night's Watch,Arrow,Castle Black,5,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,1,0,1,422,233
446,Other Baelishes,Baelish soldier,House Baelish,Brienne of Tarth,Brienne of Tarth,House Tarth,Sword,Eastern Road,5,2,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,400,790
447,Other Baelishes,Baelish soldier,House Baelish,Brienne of Tarth,Brienne of Tarth,House Tarth,Sword,Eastern Road,5,2,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,400,790
448,Other Baelishes,Baelish soldier,House Baelish,Brienne of Tarth,Brienne of Tarth,House Tarth,Sword,Eastern Road,5,2,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,400,790
449,Smallfolk,Unnamed Dwarf,Smallfolk,Smallfolk,Peasant,Smallfolk,Unknown,King's Landing,5,2,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,440,1050
450,Animals,Pigeon,Animal,Arya Stark,Arya Stark,House Stark,Sword,Braavos,5,2,-1,-1,-1,-1,-1,0,-1,0,1,0,1,0,0,0,0,0,0,798,760
451,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Others,Meereen slave,None,Knife,Meereen,5,2,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
452,Others,Meereen slave,None,Daario Naharis,Daario Naharis,House Targaryen,Arakh,Meereen,5,2,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
453,Masters,Great Master,Great Masters,Others,Meereen slave,None,Hands,Meereen,5,2,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
454,Others,Peasant,None,Ramsay Bolton,Ramsay Bolton,House Bolton,Flaying,Winterfell,5,3,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,283,447
455,Others,Peasant,None,Ramsay Bolton,Ramsay Bolton,House Bolton,Flaying,Winterfell,5,3,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,283,447
456,Others,Peasant,None,Ramsay Bolton,Ramsay Bolton,House Bolton,Flaying,Winterfell,5,3,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,283,447
457,Night's Watch,Janos Slynt,Night's Watch,Jon Snow,Jon Snow,Night's Watch,Sword,Castle Black,5,3,300,5,7,5,3,1,1,1,1,1,0,0,1,1,1,0,1,422,233
458,Animals,Rat,Animal,Qyburn,Qyburn,House Lannister,Knife,King's Landing,5,3,-1,-1,-1,-1,-1,0,-1,1,0,0,1,0,0,0,0,0,0,440,1050
459,Animals,Snake,Animal,Bronn,Bronn,House Lannister,Knife,Dorne,5,4,-1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,0,0,0,0,600,1390
460,Martells,Dorne Soldier,House Martell,Bronn,Bronn,House Lannister,Knife,Dorne,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,600,1390
461,Martells,Dorne Soldier,House Martell,Bronn,Bronn,House Lannister,Sword,Dorne,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,600,1390
462,Animals,Horse,Animal,Bronn,Bronn,House Lannister,Sword,Dorne,5,4,-1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,0,0,0,0,600,1390
463,Martells,Dorne Soldier,House Martell,Jaime Lannister,Jaime Lannister,House Lannister,Sword,Dorne,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,600,1390
464,Others,Dorne Smuggler,None,Sand Snakes,Obara Sand,House Martell,Spear,Dorne,5,4,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,600,1390
465,Other Targaryens,Second Sun Mercenary,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
466,Other Targaryens,Second Sun Mercenary,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
467,Other Targaryens,Second Sun Mercenary,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
468,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
469,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Unsullied,Unsullied Soldier,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
470,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Unsullied,Unsullied Soldier,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
471,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
472,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
473,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Shield,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
474,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
475,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
476,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
477,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
478,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
479,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
480,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
481,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Hands,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
482,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
483,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
484,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
485,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
486,Unsullied,Unsullied Soldier,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Knife,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
487,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
488,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
489,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
490,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
491,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
492,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1613,1309
493,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
494,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
495,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
496,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
497,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
498,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
499,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
500,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
501,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
502,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
503,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
504,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Barristan Selmy,Barristan Selmy,House Targaryen,Sword,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
505,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Grey Worm,Grey Worm,House Targaryen,Spear,Meereen,5,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
506,Barristan Selmy,Barristan Selmy,House Targaryen,Sons of the Harpy,Sons of the Harpy agent,Sons of the Harpy,Sword,Meereen,5,4,-1,-1,-1,-1,-1,1,1,-1,0,1,0,0,1,1,1,0,1,1613,1309
507,Other Targaryens,Great Master,House Targaryen,Animals,Viserion,Animal,Dragonfire,Meereen,5,5,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,1613,1309
508,Others,Stone Man,None,Jorah Mormont,Jorah Mormont,House Targaryen,Sword,Valyria,5,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1261,1556
509,Others,Peasant,None,Arya Stark,Arya Stark,House Stark,Poison,Braavos,5,6,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,798,760
510,Night's Watch,Aemon Targaryen,Night's Watch,Night's Watch,Aemon Targaryen,Night's Watch,Old Age,Castle Black,5,7,300,4,35,5,7,1,1,1,1,1,0,0,1,0,1,1,0,422,233
511,Others,Peasant,None,Ramsay Bolton,Ramsay Bolton,House Bolton,Flaying,Winterfell,5,7,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,283,447
512,Wildlings,Wildling Leader,Free Folk,Jaqen H'ghar,Jaqen H'ghar,Free Folk,Hammer,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,504,154
513,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
514,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
515,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
516,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
517,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
518,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
519,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
520,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Falling,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
521,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
522,Wildlings,Loboda,Free Folk,White Walkers,White Walker,White Walkers,Spear,Hardhome,5,8,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,504,154
523,Wildlings,Karsi,Free Folk,White Walkers,Wight,White Walkers,Teeth,Hardhome,5,8,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,504,154
524,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
525,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
526,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
527,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
528,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
529,Wildlings,Wildling,Free Folk,White Walkers,White Walker,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
530,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
531,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Axe,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
532,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
533,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
534,Wildlings,Wildling,Free Folk,White Walkers,Wight,White Walkers,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,504,154
535,Others,White Walker,None,Jon Snow,Jon Snow,House Stark,Sword,Hardhome,5,8,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,504,154
536,Animals,Horse,Animal,Ramsay Bolton,Ramsay Bolton,House Bolton,Fire,Kingsroad,5,9,-1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,0,0,0,0,330,719
537,Others,Peasant,None,Others,Peasant,None,Poison,Braavos,5,9,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,798,760
538,Other Baratheons of Dragonstone,Shireen Baratheon,House Baratheon of Dragonstone,Melisandre of Asshai,Melisandre of Asshai,Lord of Light,Fire,Kingsroad,5,9,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,1,1,0,1,332,357
539,Others,Gladiator,None,Others,Gladiator,None,Sword,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
540,Others,Gladiator,None,Others,Gladiator,None,Sword,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
541,Others,Gladiator,None,Jorah Mormont,Jorah Mormont,House Targaryen,Knife,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1613,1309
542,Others,Gladiator,None,Others,Gladiator,None,Spear,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
543,Others,Gladiator,None,Others,Gladiator,None,Spear,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1613,1309
